polygon_number,point_order,longitude,latitude,tractce10,aland10,geom
34,54,-122.36863,37.73211,980600,2132295,POINT (-122.36862600009 37.7321070006376)
21,0,-122.44253,37.80695,012700,434518,POINT (-122.442525000428 37.8069470003039)
21,247,-122.44422,37.80728,012700,434518,POINT (-122.444216000168 37.8072760001873)
3,19,-122.42664,37.77833,016300,245867,POINT (-122.426640999982 37.7783290007828)
34,90,-122.3652,37.73376,980600,2132295,POINT (-122.365196000195 37.7337560002393)
36,292,-122.49583,37.7875,980200,1022567,POINT (-122.495828999808 37.7875010001711)
21,677,-122.44308,37.80632,012700,434518,POINT (-122.44307799985 37.8063150008367)
21,1020,-122.44312,37.80671,012700,434518,POINT (-122.443115999804 37.8067090001203)
21,391,-122.44682,37.80568,012700,434518,POINT (-122.446819999743 37.8056770001934)
36,93,-122.50612,37.78798,980200,1022567,POINT (-122.50612200053 37.787975000446)
34,521,-122.38161,37.72215,980600,2132295,POINT (-122.381606000616 37.7221450007912)
21,941,-122.44349,37.80697,012700,434518,POINT (-122.443488999917 37.8069660002807)
21,856,-122.4445,37.80641,012700,434518,POINT (-122.444501999867 37.8064090006749)
34,343,-122.3656,37.71602,980600,2132295,POINT (-122.365604000124 37.7160230008608)
21,164,-122.44313,37.80757,012700,434518,POINT (-122.443133999734 37.8075740004398)
27,16,-122.41301,37.79432,011200,177414,POINT (-122.413011000058 37.7943210008136)
21,692,-122.44345,37.80639,012700,434518,POINT (-122.443445999733 37.806390000698)
22,13,-122.41208,37.78974,012100,123393,POINT (-122.412076000107 37.7897400000011)
33,25,-122.40699,37.80167,010600,187222,POINT (-122.406988000196 37.8016740008545)
21,766,-122.4449,37.80614,012700,434518,POINT (-122.444904000419 37.8061380007682)
20,15,-122.44747,37.79939,012800,497841,POINT (-122.447465999856 37.799390000748)
34,503,-122.37982,37.72275,980600,2132295,POINT (-122.379823000231 37.7227530000509)
21,379,-122.44687,37.80588,012700,434518,POINT (-122.446874000435 37.8058800005616)
21,824,-122.44516,37.80629,012700,434518,POINT (-122.445162999773 37.806289000537)
10,38,-122.4564,37.78145,015400,719856,POINT (-122.456395999776 37.7814470006786)
36,15,-122.50416,37.78113,980200,1022567,POINT (-122.504159999984 37.7811270003108)
